type,category,unit_class,hp,attack,sec_attack,charge,def_skill,armour,shield,missile_range,missile_ammo,recruit_cost,upkeep_cost,attributes,formations,weapon_type,weapon_attr,hp_extra,sec_charge,sec_weapon_type,sec_weapon_attr,sec_armour,sec_def_skill,heat,scrub_mdf,sand_mdf,forest_mdf,snow_mdf,morale,discipline,training,charge_distance,recruit_turns,weapon_upgrade_cost,armour_upgrade_cost,custom_battle_cost,aor,ownership,region,dictionary,name,short_desc,long_desc,building,recruitment_building,hidden_resources,hidden_resources_not,event,faction,different_rows
ballistas,siege,missile,1,6,25,0,7,6,0,0,0,928,340,sea_faring,,melee,no,5,0,siege_missile,"ap, bp, launching",0,0,0,0,0,0,0,12,normal,trained,30,2,624,13,353,False,"acarnania, achaea, acragas, aetolia, anatolians, antigonid, ardiaei, argos, asti, athens, bactria, bessi, bithynia, boeotia, bosporan, byzantium, cappadocia, carthage, chersonesus, chios, chrysaoria, cilicians, cius, cyrene, cyzicus, dentheletae, egypt, elis, emporion, epirus, getae, gortyn, greeks, hellenistic_rebels, heraclea_pontica, histria, indo_greeks, issa, kabyle, knossos, kydonia, lycia, lysiad, lyttos, maedi, masaesyli, massalia, massylii, megalopolis, messene, miletus, odrysians, olbia, paionia, paphlagonia, pentapolis, pergamon, pontus, priene, ptolemaic, ptolemaic_rebels, rhodes, romans_julii, seleucid, seleucid_rebels, seleucid_rebels2, selge, sinope, slave, sparta, syracuse, taras, thessaly, thracians, trapezus, triballi",,ballistas,Ballistas,A Ballista is a sinew-powered weapon that looks like an enormous crossbow. It has tremendous range and can skewer files of men with a single bolt!,"A Ballista is a sinew-powered weapon that looks like an enormous crossbow. It has tremendous range and can skewer files of men with a single bolt!

While a Ballista might look like a huge crossbow, its working principles are rather different. The two arms are pushed through ropes made of tough animal sinew. This naturally elastic material is then twisted, and becomes a hugely powerful spring, pulling each arm forwards. The arms are pulled back, creating even more tension, the Ballista is loaded with a missile, and then this is shot at the enemy with considerable force.

Providing care is taken to make sure that the two sinew bundles are under the same tension, the Ballista is a very accurate weapon, but because sinew is sensitive to damp a Ballista does not work well in wet weather.",siege_engineer_1,3,,,,"acarnania, achaea, acragas, aetolia, anatolians, antigonid, ardiaei, argos, asti, athens, bactria, bessi, bithynia, boeotia, bosporan, byzantium, cappadocia, carthage, chersonesus, chios, chrysaoria, cilicians, cius, cyrene, cyzicus, dentheletae, egypt, elis, emporion, epirus, gortyn, greeks, histria, issa, kabyle, knossos, kydonia, lycia, lysiad, lyttos, maedi, masaesyli, massalia, massylii, megalopolis, messene, miletus, odrysians, olbia, paionia, paphlagonia, pentapolis, pergamon, pontus, priene, ptolemaic, rhodes, roman, seleucid, selge, sinope, sparta, syracuse, taras, thessaly, thracians, trapezus, triballi",1.0
lithoboloi,siege,missile,1,6,30,0,7,6,0,0,0,1346,493,sea_faring,,melee,no,5,0,siege_missile,"ap, bp, launching, area",0,0,0,0,0,0,0,12,normal,trained,30,2,827,17,511,False,"acarnania, achaea, acragas, aetolia, anatolians, antigonid, argos, athens, bactria, bithynia, boeotia, bosporan, byzantium, cappadocia, carthage, chersonesus, chios, chrysaoria, cilicians, cius, cyrene, cyzicus, egypt, elis, emporion, epirus, gortyn, greeks, hellenistic_rebels, heraclea_pontica, histria, indo_greeks, issa, knossos, kydonia, lycia, lysiad, lyttos, masaesyli, massalia, massylii, megalopolis, messene, miletus, olbia, paphlagonia, pentapolis, pergamon, pontus, priene, ptolemaic, ptolemaic_rebels, rhodes, romans_julii, seleucid, seleucid_rebels, seleucid_rebels2, selge, sinope, slave, sparta, syracuse, taras, thessaly, trapezus",,lithoboloi,Lithoboloi,An enormous form of ballista that can hurl stone balls hundreds of yards. Slow and clumsy to maneuvre.,"In the ancient world, artillery was a weapon of the Greek and later on, the Roman world. From the invention of the Ballista (circa 400 BC), this technology remained the standard form of artillery until gunpowder reached Europe hundreds of years later. The ballista itself was derived from the gastraphetes, an ancient crossbow that was enlarged and mounted on a turret to form an artillery weapon. This in turn was evolved and perfected by the Romans. Over the centuries they produced many variants, from the smaller scorpiones used by the Legions, to the Lithobolos itself.

The credit of this machine lies with the crafty Greek, Archimedes. He once proved his scientific theories to Hiero, ruler of Syracuse by using pullies to single-handedly tow a fully laden warship through the water! After that, Hiero commissioned the great thinker to build all sorts of contraptions to defend Syracuse against siege from the sea; amongst other things, the Lithobolos. Ironically, on the few future occasions when it was used, it was by their one-time opponents, when the Romans besieged large fortified cities.

These were enormous contraptions, designed to throw stone balls from 10 to 180lb in weight! As with the weight of their ammunition, these weapons varied greatly in size, but some of the larger ones would have been the height of several men. Angled at 45 degrees to get maximum distance from the machine, they fired their projectiles up to hundreds of yards.

In history, artillery on the battlefield has always been a resource of limited usefulness. Even though the Legions all carried Scorpiones, they were rarely used to inflict any significant casualties on the enemy in field battles; artillery's most important use was in siege warfare. But as a weapon to break up formations and terrify enemies, it is almost unrivalled!",siege_engineer_1,3,,,,sparta,2.0
large_lithoboloi,siege,missile,1,6,35,0,7,6,0,0,0,1646,602,sea_faring,,melee,no,5,0,siege_missile,"ap, bp, launching, area",0,0,0,0,0,0,0,12,normal,trained,30,2,1234,17,625,False,"acarnania, achaea, acragas, aetolia, anatolians, antigonid, argos, athens, bactria, bithynia, boeotia, bosporan, byzantium, chersonesus, chios, chrysaoria, cius, cyrene, cyzicus, egypt, elis, emporion, epirus, gortyn, greeks, hellenistic_rebels, heraclea_pontica, histria, indo_greeks, issa, knossos, kydonia, lycia, lysiad, lyttos, massalia, megalopolis, messene, miletus, olbia, pentapolis, pergamon, priene, ptolemaic, ptolemaic_rebels, rhodes, romans_julii, seleucid, seleucid_rebels, seleucid_rebels2, selge, sinope, slave, sparta, syracuse, taras, thessaly, trapezus",,large_lithoboloi,Large Lithoboloi,An enormous form of ballista that can hurl stone balls hundreds of yards. Slow and clumsy to maneuvre.,"In the ancient world, artillery was a weapon of the Greek and later on, the Roman world. From the invention of the Ballista (circa 400 BC), this technology remained the standard form of artillery until gunpowder reached Europe hundreds of years later. The ballista itself was derived from the gastraphetes, an ancient crossbow that was enlarged and mounted on a turret to form an artillery weapon. This in turn was evolved and perfected by the Romans. Over the centuries they produced many variants, from the smaller scorpiones used by the Legions, to the Lithobolos itself.

The credit of this machine lies with the crafty Greek, Archimedes. He once proved his scientific theories to Hiero, ruler of Syracuse by using pullies to single-handedly tow a fully laden warship through the water! After that, Hiero commissioned the great thinker to build all sorts of contraptions to defend Syracuse against siege from the sea; amongst other things, the Lithobolos. Ironically, on the few future occasions when it was used, it was by their one-time opponents, when the Romans besieged large fortified cities.

These were enormous contraptions, designed to throw stone balls from 10 to 180lb in weight! As with the weight of their ammunition, these weapons varied greatly in size, but some of the larger ones would have been the height of several men. Angled at 45 degrees to get maximum distance from the machine, they fired their projectiles up to hundreds of yards.

In history, artillery on the battlefield has always been a resource of limited usefulness. Even though the Legions all carried Scorpiones, they were rarely used to inflict any significant casualties on the enemy in field battles; artillery's most important use was in siege warfare. But as a weapon to break up formations and terrify enemies, it is almost unrivalled!",siege_engineer_2,4,,,,"acarnania, achaea, acragas, aetolia, anatolians, antigonid, argos, athens, bactria, bithynia, boeotia, bosporan, byzantium, chersonesus, chios, chrysaoria, cius, cyrene, cyzicus, egypt, elis, emporion, epirus, gortyn, greeks, histria, issa, knossos, kydonia, lycia, lysiad, lyttos, massalia, megalopolis, messene, miletus, olbia, pentapolis, pergamon, priene, ptolemaic, rhodes, roman, seleucid, selge, sinope, sparta, syracuse, taras, thessaly, trapezus",1.0
barb peasant slave,infantry,light,1,6,0,1,5,0,0,0,0,166338,0,"sea_faring, hide_forest, no_custom, hardy, is_peasant",,melee,no,5,0,melee,no,0,0,0,0,0,0,0,2,low,untrained,30,16,1,120,3951,False,"acarnania, achaea, acragas, aedui, aetolia, allobroges, anatolians, antigonid, ardiaei, arevaci, argos, armenia, arverni, asti, athens, atropatene, bactria, belgae, bessi, bithynia, boeotia, boii, bosporan, byzantium, cappadocia, carthage, chatti, chersonesus, chios, chrysaoria, cilicians, cimbri, cius, cyrene, cyzicus, dentheletae, edetani, egypt, elis, emporion, epirus, galatians, getae, gortyn, greeks, hellenistic_rebels, heraclea_pontica, histria, indo_greeks, insubres, issa, kabyle, knossos, kush, kydonia, lugii, lusitani, lycia, lysiad, lyttos, maedi, masaesyli, massalia, massylii, mauryan, megalopolis, messene, miletus, nabataea, odrysians, olbia, paionia, paphlagonia, parni, pentapolis, pergamon, pontus, priene, ptolemaic, ptolemaic_rebels, rhodes, romans_julii, saba, saka, scordisci, seleucid, seleucid_rebels, seleucid_rebels2, selge, sinope, siraces, slave, sparta, suebi, syracuse, taras, thessaly, thracians, trapezus, triballi, trinovantes, tylis, volcae",,barb_peasant_slave,Mob,A mob of people angry at the incompetence of the powers that be. Recruitable only if you neglect your infrastructure and treasury.,"A mob of people angry at the incompetence of the powers that be, and seeking to enact bloody justice for their cause. They are poorly armed and not suited for pitched battles, but very adept at spilling the blood of even those sitting in the tallest and most gilded thrones at the cost of their own lives in hope of a better tomorrow. They are tired, hungry, overworked, and not in the mood for petty concessions. ""Recruitable"" only if you neglect the people, infrastructure and treasury.",,,,,,,
roman velites,infantry,missile,1,10,6,2,10,3,5,60,7,1020,373,"sea_faring, can_swim, hide_forest, very_hardy",,thrown,thrown,7,2,melee,no,0,0,0,0,0,-2,-1,8,low,untrained,30,2,0,46,388,False,"romans_julii, slave",,roman_velites,Velites,Velites were swift moving skirmish infantry armed with a sword and a clutch of javelins.,"In the pre-Marian Republican legion, the Velites were the youngest and poorest of the serving soldiers. Generally, unable to afford to equip themselves as infantry, they relied upon their speed and daring to get them through a battle. Unlike the infantry, the Velites were not organised, instead it seems that they attached themselves to each century or maniple of infantry.

Velites were ordered to carry a sword, a clutch of javelins and a shield, called a parma, measuring 3ft in diameter, which offered good protection from the dangers of battle. For ease of identification and to mark themselves out, they would wear a wolf's skin over a plain helmet, which allowed their commanding officers to judge if they fought pluckily or not.

Polybius, in his ""Histories"" (Book 6, 21.6 - 22) describes at length the accoutrements of a serving Veles: ""The wooden shaft of the javelin measures about two cubits in length and is about a finger's breadth in thickness; its head is a span long hammered out to such a fine edge that it is necessarily bent by the first impact, and the enemy is unable to return it. If this were not so, the missile would be available for both sides.""

The role of the Velites was probably formed from the earlier, now amalgamated Rorarii and Accensi classes, though historical documentation is unclear as to the exact function of these classes. It is only with the appearance of the Velites, that the role of the lowest class of citizen in the Roman Army becomes more apparent. Velites would have all but disappeared with the reforms of Gaius Marius, which enabled those Romans who had no property to speak of yet appeared in the 'Head Count' (capite censi), to serve in the Roman army, whilst turning the State into the provider of equipment.

Therefore, those who would have previously served as Velites through a lack of class, age and equipment, could now serve as infantry in a post-Marian army.",missiles_1,1,,,,roman,1.0
roman hastati,infantry,heavy,1,11,11,6,20,5,9,45,2,1416,518,"sea_faring, hide_forest, can_sap, very_hardy",testudo,thrown,"ap, prec",7,8,melee,no,0,0,0,0,0,-2,-1,14,low,highly_trained,30,2,1,55,538,False,"romans_julii, slave",,roman_hastati,Hastati,"Armed with the gladius and two pila, the lightly equipped Hastati formed the front line of infantry of the pre-Marian Republican legions.","The Hastati were the youngest and, excepting the Velites, the poorest men serving in a pre-Marian Republican legion. In the traditional deployment of an army of this period, they were the first line of infantry, and were expected to wear down the enemy, and if not able to defeat them, then to retreat behind the lines of the Principes, in order for the Principes to continue the fight.

The Hastati were armed with what the Romans considered to be full panoply of armour, which was the scutum, gladius, helmet, pila and, in the case of the Hastati, the pectoral, as opposed to the chain mail armour of the Principes and Triarii.

Though assumed to be relatively inexperienced, in battle, the Hastati were expected to give a good account of themselves and were naturally imbued with the Roman fighting spirit.

Polybius (Book 6, 23) states that ""the next in seniority (to the ""Velites"") called Hastati are ordered to wear a complete panoply"", and that along with the Velites, Principes and Triarii, the Hastati made up the names, among the Romans, of the four classes in each legion, distinct in age and equipment. They divided them so that the senior men known as Triarii numbered six hundred, the Principes twelve hundred, and the Hastati twelve hundred, the rest, consisting of the youngest, being Velites.

Literally, the Hastatus is a ""hasta-user"", referencing the hasta, a spear with which these soldiers were originally equipped prior to the fourth century. While the gladius varied in design throughout its usage, the Gladius Hispaniensis was the most commonly and widely used, being adopted after Roman contact, in Iberia, with the Celtiberians.

The scutum, or shield, was semi-rectangular in shape and provided good protection for almost the entire body. The pilum (plural ""pila"") was the javelin thrown before charging the enemy, of which, the Hastati were equipped with two.

It has been often said that the pilum was designed to bend on impact, thus rendering it incapable of being re-used by the enemy, but this is not the full story. This was not its prime function, but merely a useful consequence of the design. It existed as a close-range javelin that used weight, rather than velocity, to provide its penetrative power. The earliest known examples of the pilum are representations on 4th century frescoes from the Gigoli tomb at Tarquinia, and a socketed example recovered from a 5th century tomb at Vulci in Etruria.

The Montefortino helmet was the head protection of choice in the Republican era and received its name after archaeological finds in the Italian town of Montefortino. Earlier examples may have been more decorative due to the fact that equipment (including helmets) would have been passed down through the generations of a family. However, post-Marius, the enlisted Head Count soldiers couldn't afford to equip themselves and, therefore, relied on the State to provide them with standardised, though less decorative, equipment. This equipment was effectively that of the principes, though remnants of the manipular system remained in the positions and titles of centurions within each cohort of the reformed legions.",barracks_2,2,,,,roman,1.0
roman principes,infantry,heavy,1,13,13,10,25,10,9,45,2,1788,654,"sea_faring, hide_forest, can_sap, very_hardy",testudo,thrown,"ap, prec",7,11,melee,no,0,0,1,0,0,-2,-1,17,disciplined,highly_trained,30,2,1,52,679,False,"romans_julii, slave",,roman_principes,Principes,"The heavily armed, and more experienced, Principes formed the second line of infantry of the pre-Marian Republican legions.","The Principes were armed similarly to the Hastati who, traditionally, deployed in front of them in battle. However, due to their higher social status and age, the Principes were able to equip themselves more adeptly. They wore chain mail armour, as opposed to the ""pectoral"" seen on Hastati, as well as greaves, the gladius, scutum, pila and the 'Montefortino' helmet. It should be noted though, that because of the self-equipping nature of the Roman Army of this period, the equipment of each individual would naturally vary.

In battle, Principes demonstrated model discipline, as well as a stubborn resolve to fight to the last, due to innate courage and training. The Principes were usually described as ""the foremost"", perhaps in the sense of being the best fighters, or in our terms, those on whom the battle depended.

Polybius (Book 6, 21.6) states that the Principes were in the ""prime of life"" and that along with the Velites, Hastati and Triarii, made up ""the names among the Romans of the four classes in each legion distinct in age and equipment. They divided them so that the senior men known as Triarii number six hundred, the Principes twelve hundred, the Hastati twelve hundred, the rest, consisting of the youngest, being Velites.

The gladius varied in design throughout its usage and the gladius Hispaniensis was the most commonly and widely used, being adopted after Roman contact, in Iberia, with the Celtiberians. The scutum or shield was semi-rectangular in shape, and provided good protection for almost the entire body. The pilum (pila pl.) was the javelin thrown before charging the enemy, of which they had two.

The Montefortino helmet was the head protection of choice in the Republican era. It received its name after archaeological finds in the Italian town of Montefortino. Earlier examples may have been more decorative (often adorned with black ostrich feathers from Latium), due to the fact that equipment (including helmets) would have been passed down through the generations of a family whereas, post-Marius, the Head Count soldiers enlisted couldn't afford to equip themselves, and therefore relied on the State to provide them with standardised, though less decorative, equipment.

The armament of the Principes was similar to that of the Hastati, as each were within the same class level (classis) or property ownership for the levy. Finds in Numantia, among other places, confirm the standard equipment of legionary pila, heavy oblong scutum, gladius, and armour (a pectoral, or, for wealthier soldiers, a shirt of lorica hamata). (20.11.2) Some have used Dionysius' statement from Roman Antiquities, 20.11.2 (""Those who fight with cavalry spears ... the Romans call Principes"") to claim that the Principes fought with a hasta similar to the Triarii. It is, however, more likely that Dionysius was using a Pyrrhic era source, or mistakenly wrote ""Principes"" when he should have written ""Triarii"". Following the Marian reforms, though distinctions between the hastati, principes and triarii nominally remained in the positions and titles of centurions within each cohort of the reformed legions, the equipment borne by the legionaries was effectively that of the principes.",barracks_3_roman,3,,,,roman,1.0
roman triarii,infantry,spearmen,1,13,0,13,34,10,9,0,0,2011,736,"sea_faring, hide_forest, can_sap, very_hardy",,melee,"light_spear, spear_bonus_6",6,0,melee,no,0,0,2,0,0,-2,-1,19,disciplined,highly_trained,30,2,1,52,764,False,"romans_julii, slave",,roman_triarii,Triarii,"The Triarii were the oldest and most experienced infantry, who made up the third line of the pre-Marian Republican legions.","The Triarii were the oldest and most experienced soldiers, who along with the Velites, Hastati and Principes, made up the full infantry complement in a pre-Marian Republican legion. They were armed similarly to the Principes although, rather than a gladius, their weapon of choice was commonly a hasta, a long spear. Other than this, they carried all the accoutrements of a typical Roman foot soldier: greaves, the gladius and scutum. However, the Triarii did away with the pila, as they weren't practical in addition to being armed with the hasta.

The proverb ""ad triarios perventum est"", used in relation with an extremely serious situation, is indicative of the role usually assigned to these men, of final line of defence. That they should engage at all was usually seen as being a last resort, since it meant the two previous lines, the Hastati and the Principes had been broken.

Polybius (Book 6, 21.6) says the Triarii were ""the oldest of all"" and that, because they were worth more than 10,000 drachmas, were able to wear a coat of chain mail instead of the simple sheet of metal worn over the chest by the common soldiers (Polybios, Historiai, 6.23.14). Along with the Velites, Hastati and Principes, the Triarii made up the names among the Romans of the four classes in each legion distinct in age and equipment. They divided them so that the senior men known as Triarii numbered six hundred, the Principes twelve hundred, the Hastati twelve hundred, the rest, consisting of the youngest, being Velites.

The scutum, or shield, was semi-rectangular in shape, and provided good protection for almost the entire body. A hasta was about six feet in length with a shaft generally made from ash, while the head was of iron, and usually had a bronze butt-spike.

Following the Marian reforms, the triarii lost their distinctive equipment, though remnants of the manipular system remained in the positions and titles of centurions within each cohort of the reformed legions.",barracks_3_roman,3,,,,roman,1.0
roman equites,cavalry,heavy,1,8,10,30,10,11,5,0,0,1415,570,"sea_faring, hide_forest, very_hardy",,melee,no,8,25,melee,no,0,0,1,-1,-1,-7,-2,14,disciplined,highly_trained,40,2,0,31,538,False,"romans_julii, slave",,roman_equites,Equites,"Equites were lightly armed and mobile cavalry who were best suited to either chasing down fleeing enemies, or driving off skirmishers.","The Equites were a caste of the Roman elite, who served as cavalry in a Roman legion of this time, and were formed from the 18 centuries of Equites, which were created by the Roman King, Servius Tullius. Those serving were provided with a Public Horse (equus publicus) by the state, and the money for its upkeep.

There were also those who were Eques, who were a class below the 18 centuries of Equites. They did not receive a Public Horse but had to provide their own. Due to the Equites superior wealth, they were able to arm themselves with good quality equipment, namely a chain mail suit or bronze cuirass, a slightly longer sword for slashing downwards to foes below, as well as a long spear. Nevertheless, in comparison to their Eastern counterparts, the Equites were lightly armed, making them mobile, yet vulnerable in close combat. Because of this, their role in battle was mainly confined to chasing down fleeing enemies, supporting the velites, or driving off enemy skirmishers.

In the constitution of Servius Tullius all the Roman citizens were arranged in different classes according to the amount of their property, and it may therefore fairly be presumed that a place in the centuries of Equites was determined by the same qualification. Dionysius (iv.18) expressly says, that the Equites were chosen by Servius out of the richest and most illustrious families; and Cicero (De Rep. II.22) that they were of the highest census (censu maximo). Livy (i.43) also states that the twelve centuries formed by Servius Tullius consisted of the leading men of the state.

None of these writers, however, mention the property which was necessary to entitle a person to a place among the Equites; but it was probably of the same amount as in the latter times of the republic, that is, four times that of the first class. Every man therefore who possessed the requisite property, and whose character was unblemished (for this latter qualification appears to have been always necessary in the ancient times of the republic), was admitted among the Equites of the Servian constitution; and it may be presumed that the twelve new centuries were created in order to include all those persons in the state who possessed the necessary qualifications.

Niebuhr (Hist. of Rome, vol. I p427, &c.), however, supposes that the qualification of property was only necessary for admission into the twelve new centuries, and that the statement of Dionysius, quoted above, ought to be confined to these centuries, and not applied to the whole eighteen. He maintains that the twelve centuries consisted exclusively of plebeians; and that the six old centuries (that is, the three double centuries of Ramnes, Tities and Luceres, priores and posteriores), which were incorporated by Servius into his comitia under the title of the sex suffragia, comprised all the patricians, independent of the amount of property which they possessed.

This account, however, does not seem to rest on sufficient evidence; and we have on the contrary, an express instance of a patrician, L. Tarquitius, B.C. 458, who was compelled on account of his poverty to serve on foot (Liv. III.27). That the six old centuries consisted entirely of patricians is most probable, since the plebeians would certainly not have been admitted among the Equites at all till the Servian constitution; and as by this constitution new centuries were created, it is not likely that any plebeians would have been placed among the ancient six. But we have no reason for supposing that these six centuries contained the whole body of patricians, or that the twelve consisted entirely of plebeians.

We may suppose that those patricians, who belonged to the six, were allowed by the Servian constitution to continue in them, if they possessed the requisite property; and that all other persons in the state, whether patricians or plebeians, who possessed the requisite property, were admitted into the 12 new centuries. That the latter were not confined to plebeians may be inferred from Livy, who says that they consisted of the leading men in the state (primores civitatis), not in the plebs.

As vacancies occurred in the eighteen centuries, the descendants of those who were originally enrolled succeeded to their places, whether plebeians or patricians, provided they had not dissipated their property; for Niebuhr goes too far when he asserts that all vacancies were filled up according to birth, independent of any property qualification. But in course of time, as population and wealth increased, the number of persons, who possessed an equestrian fortune, also increased greatly; and as the number of equites in the 18 centuries was limited, those persons, whose ancestors had not been enrolled in the centuries, could not receive horses from the state, and were therefore allowed the privilege of serving with their own horses amongst the cavalry, instead of the infantry, as they would otherwise have been obliged to have done.

Not being natural horsemen, the Romans soon began to favour the use of allied cavalry, but these cavalrymen can be relied upon in the role of flanking manoeuvres, engaging enemy skirmishers, and chasing down fleeing troops. Following the Marian reforms, the legions retained 120 cavalrymen, but these were provided equipment and mounts by the state. The cavalry supporting Roman legions would largely be provided from non-Italian peoples, laying the foundations for the auxiliary cavalry of the Imperial Era.",equestrian_2,2,,,,roman,1.0
tribunus militum,cavalry,heavy,1,11,13,40,16,10,5,0,0,3187,48,"sea_faring, hide_forest, general_unit, very_hardy, power_charge",wedge,melee,no,18,35,melee,no,0,0,1,-1,-1,-8,-2,19,disciplined,highly_trained,40,4,0,6,183,False,"romans_julii, slave",,tribunus_militum,Tribunus Militum,The Tribunus Militum is a general given overall command of a Legion.,"In the Republican period, there were six tribunes appointed to each legion. Authority was given to two at a time, and command rotated among the six. Tribunes were men of Senatorial status appointed by the Senate. To attain the position of tribune, one only needed to be a member of the ruling class - ability was not considered. Additionally, in the early Republic, military tribunes were sometimes chosen in place of the annually elected consuls to be the heads of the Roman State. These are known in Latin as 'tribuni militum consulari potestate', ""Military Tribunes with Consular Authority."" Instead of the usual two consuls, between four and six military tribunes were elected for the year. The reasons for this choice are obscure, though Livy often cast the decision according to the class struggles he saw as endemic during this period, with patricians generally favouring consuls and plebs the military tribunes. This practice eventually fell out of use after 366 BC, and Tribunes were limited to command of Rome's Legions, while larger armies of multiple legions and their associated Italian alae were commanded by the consuls. 

This bodyguard is made up of the best-equipped and best-mounted troops Rome can provide. To that end, they are armed with spears, and protected by cuirasses and large shields. They can act as a mobile reserve in battle, keeping the general safe in the clash of melee while charging home as heavy shock cavalry.",equestrian_4,4,,,,roman,1.0
